artistas,colaboracion,genero_musical,nombre,ano_lanzamiento,id,tipo
Cal Smith,False,pop,Amanda,2015,5hAPcxKta8xUbOrbPDZfAu,track
Václav Neckář,False,pop,Maľovanie Na Plot,2015,1jXM9Regz2bylePDEJxHp6,track
Lalitya Munshaw,False,pop,Jai Adhya Shakti,2015,1R9DXacpPe96dytqyFxb4B,track
Amongster,False,pop,Salrow,2015,4a0FsPaa5aHgKKWsq7TrcZ,track
Radojka Sverko,False,pop,Ljubim Te Do Bola,2015,1R9c41P9w5CVx8wW3BUvF7,track
Noor Jehan,False,pop,"Mere Ang Ang Wich (From ""Allah Bux"")",2015,3PusckEiBt7tNm26tnWCbZ,track
"Tara Thapa, Bom Bahadur Karki, Sunita subba, Sudar Shrestha, Yukta Gurung, Prem Raja Mahat, UshaKiran Adhikari, Pandav Sunuwar, Bulu Mukarung, Sarala Gauchan",True,pop,Mathi Mathi,2015,6PDExB2p7J2IS5MWltWp9T,track
Marey,False,pop,Luna de Mis Noches,2015,5oWO9dvkKbytxpUqzh1R8f,track
Maria Butaciu,False,pop,Roata,2015,1lPaAcQ7ZtRP07feMUnfZ7,track
Silky Criss,False,pop,10 Step Ahead,2015,7Blf50y6ogd8VzddbvO3fp,track
Maria Cecília & Rodolfo,False,pop,Nunca Vai Mudar,2015,303ZAMRg6NCnbrPEaRwHae,track
Momtaz,False,pop,Aul Baul,2015,53utNUHM2Xb9wYsUkX2o20,track
The Rising,False,pop,Never Tried,2015,2MhkDPLn274dsiNd4TcciU,track
"AFROJACK, D.O.N.S., Tristan Casara",True,pop,Esther - D.O.N.S. & Tristan Casara Remix,2015,66ssNqp3FMstVikM4KOatn,track
Sergio Dalma,False,pop,Eres,2016,6IskShsV8VnQn0lgKKm68D,track
"KSHMR, Marnik",True,pop,Bazaar - Official Sunburn Goa 2015 Anthem,2016,1DibHfs2dLkJzZk7cvMRqL,track
David Barrull,False,pop,Te Pienso Sin Querer,2016,0rQOHereomi2BuSxBrLwBU,track
Soraya,False,pop,Long Time,2016,2Uwqt38MIXF9DNOO03vpSU,track
Juventud Juché,False,pop,Miedo,2016,3QZpJmUec9pgWyRmowHQey,track
DMEI,False,pop,Es tu amor,2016,3NeRjnDy4zT8NHTdjoGhjM,track
Neleonard,False,pop,Menos De Mí,2016,2xOu1o3GyvdeZJvZ1SJ3uJ,track
Grises,False,pop,Huesos,2016,5NTrSnFEHmuFeZWTSdouhj,track
Pablo Und Destruktion,False,pop,Extranjera,2016,0Uldb6QJleRNSCvoSfUDey,track
Vinicio Capossela,False,pop,Dagarola del Carpato,2016,2xIF77seInRffOvd92FfMf,track
"La Barbería Del Sur, Juan Perro",True,pop,Rosario Dinamitera,2016,6DsRiSasltNgPuw8jsbLEM,track
Cherezade,False,pop,Mi Universo,2016,0R2ZCgktfLZ7yjQ9JmOGVx,track
"Nicky Romero, Lipless",True,pop,The Moment (Novell) - Lipless Remix,2016,4xJiZsyercTzis4IRDiaw6,track
espiritusanto,False,pop,La distancia sobrante,2016,4UhEWCiu3l5g0rE8eEq4OE,track
Cristóbal Jiménez,False,pop,Islas Canarias,2016,08cvpfQa7f8E17z5oOdzKk,track
W&W,False,pop,Caribbean Rave,2016,3qLNk2uk4YKX5OQSNJws3X,track
Terrier,False,pop,Déjate Brillar,2016,593LFSa4CGoMEw07rgDOzg,track
Diana Navarro,False,pop,Ni siquiera nos quedó París,2016,2Flecdg8Hu1CAM99fBWjLd,track
Varry Brava,False,pop,Callada,2016,3tcUW1mQxZOnyBheOH1w4b,track
